0;59.35
1;59.35
2;59.35
3;53.16
4;47.61
5;47.61
6;47.61
7;47.61
8;43.25
9;43.25
10;40.17
11;40.17
12;40.17
13;36.57
14;36.57
15;36.57
16;33.56
17;33.56
18;31.08
19;31.08
20;31.08
21;31.08
22;28.54
23;25.89
24;25.89
25;25.89
26;25.89
27;25.89
28;24.41
29;22.96
30;22.96
31;22.96
32;22.96
33;21.57
34;21.57
35;20.67
36;20.67
37;20.67
38;18.05
39;18.05
40;18.05
41;16.03
42;16.03
43;15.35
44;15.35
45;15.35
46;15.35
47;13.87
48;12.7
49;12.7
50;12.7
51;12.7
52;12.7
53;12.21
54;11.24
55;11.24
56;11.24
57;11.24
58;10.55
59;10.55
60;9.6
61;9.6
62;9.6
63;9.35
64;9.35
65;9.35
66;8.65
67;8.65
68;7.69
69;7.69
70;7.69
71;7.69
72;7.2
73;6.41
74;6.41
75;6.41
;
0;25.65
1;25.65
2;25.65
3;24.0
4;22.37
5;22.37
6;22.37
7;22.37
8;20.41
9;20.41
10;18.17
11;18.17
12;18.17
13;16.43
14;16.43
15;16.43
16;15.47
17;15.47
18;14.77
19;14.77
20;14.77
21;14.77
22;13.62
23;12.79
24;12.79
25;12.79
26;12.79
27;12.79
28;12.0
29;11.32
30;11.32
31;11.32
32;11.32
33;10.85
34;10.85
35;10.16
36;10.16
37;10.16
38;9.48
39;9.48
40;9.48
41;8.52
42;8.52
43;7.55
44;7.55
45;7.55
46;7.55
47;7.19
48;7.03
49;7.03
50;7.03
51;7.03
52;7.03
53;5.71
54;5.41
55;5.41
56;5.41
57;5.41
58;5.21
59;5.21
60;4.73
61;4.73
62;4.73
63;4.28
64;4.28
65;4.28
66;4.0
67;4.0
68;3.5
69;3.5
70;3.5
71;3.5
72;3.09
73;2.85
74;2.85
75;2.85
;
0;8.68
1;8.68
2;8.68
3;7.91
4;6.85
5;6.85
6;6.85
7;6.85
8;6.26
9;6.26
10;6.16
11;6.16
12;6.16
13;5.7
14;5.7
15;5.7
16;5.49
17;5.49
18;5.15
19;5.15
20;5.15
21;5.15
22;4.82
23;4.61
24;4.61
25;4.61
26;4.61
27;4.61
28;4.21
29;4.07
30;4.07
31;4.07
32;4.07
33;3.86
34;3.86
35;3.82
36;3.82
37;3.82
38;3.59
39;3.59
40;3.59
41;3.37
42;3.37
43;2.77
44;2.77
45;2.77
46;2.77
47;2.68
48;2.42
49;2.42
50;2.42
51;2.42
52;2.42
53;2.35
54;2.26
55;2.26
56;2.26
57;2.26
58;2.14
59;2.14
60;1.89
61;1.89
62;1.89
63;1.84
64;1.84
65;1.84
66;1.68
67;1.68
68;1.58
69;1.58
70;1.58
71;1.58
72;1.39
73;1.33
74;1.33
75;1.33
;
0;2.08
1;2.08
2;2.08
3;2.04
4;1.91
5;1.91
6;1.91
7;1.91
8;1.82
9;1.82
10;1.76
11;1.76
12;1.76
13;1.75
14;1.75
15;1.75
16;1.69
17;1.69
18;1.36
19;1.36
20;1.36
21;1.36
22;1.29
23;1.14
24;1.14
25;1.14
26;1.14
27;1.14
28;1.07
29;0.95
30;0.95
31;0.95
32;0.95
33;0.9
34;0.9
35;0.85
36;0.85
37;0.85
38;0.84
39;0.84
40;0.84
41;0.74
42;0.74
43;0.73
44;0.73
45;0.73
46;0.73
47;0.72
48;0.6
49;0.6
50;0.6
51;0.6
52;0.6
53;0.55
54;0.53
55;0.53
56;0.53
57;0.53
58;0.5
59;0.5
60;0.5
61;0.5
62;0.5
63;0.47
64;0.47
65;0.47
66;0.44
67;0.44
68;0.42
69;0.42
70;0.42
71;0.42
72;0.41
73;0.41
74;0.41
75;0.41
;
